,University,Details,Location,Rank,Tuition & Fee($),Undergraduate enrollment (fall 2022)
0,Princeton University,https://www.usnews.com/best-colleges/princeton-university-2627,"Princeton, NJ",1,59710,5604.0
1,Massachusetts Institute of Technology,https://www.usnews.com/best-colleges/massachusetts-institute-of-technology-2178,"Cambridge, MA",2,60156,4657.0
2,Harvard University,https://www.usnews.com/best-colleges/harvard-university-2155,"Cambridge, MA",3,59076,7240.0
3,Stanford University,https://www.usnews.com/best-colleges/stanford-university-1305,"Stanford, CA",3,62484,8049.0
4,Yale University,https://www.usnews.com/best-colleges/yale-university-1426,"New Haven, CT",5,64700,6645.0
5,University of Pennsylvania,https://www.usnews.com/best-colleges/university-of-pennsylvania-3378,"Philadelphia, PA",6,66104,9760.0
6,California Institute of Technology,https://www.usnews.com/best-colleges/california-institute-of-technology-1131,"Pasadena, CA",7,63255,982.0
7,Duke University,https://www.usnews.com/best-colleges/duke-university-2920,"Durham, NC",7,66172,6640.0
8,Brown University,https://www.usnews.com/best-colleges/brown-university-3401,"Providence, RI",9,68230,7639.0
9,Johns Hopkins University,https://www.usnews.com/best-colleges/jhu-2077,"Baltimore, MD",9,63340,6044.0
10,Northwestern University,https://www.usnews.com/best-colleges/northwestern-university-1739,"Evanston, IL",9,65997,8659.0
11,Columbia University,https://www.usnews.com/best-colleges/columbia-university-2707,"New York, NY",12,65524,
12,Cornell University,https://www.usnews.com/best-colleges/cornell-university-2711,"Ithaca, NY",12,66014,15735.0
13,University of Chicago,https://www.usnews.com/best-colleges/university-of-chicago-1774,"Chicago, IL",12,65619,7470.0
14,"University of California, Berkeley",https://www.usnews.com/best-colleges/university-of-california-berkeley-1312,"Berkeley, CA",15,48465,32831.0
15,"University of California, Los Angeles",https://www.usnews.com/best-colleges/ucla-1315,"Los Angeles, CA",15,46326,32423.0
16,Rice University,https://www.usnews.com/best-colleges/rice-3604,"Houston, TX",17,58128,4494.0
17,Dartmouth College,https://www.usnews.com/best-colleges/dartmouth-college-2573,"Hanover, NH",18,65511,4458.0
18,Vanderbilt University,https://www.usnews.com/best-colleges/vanderbilt-3535,"Nashville, TN",18,63946,7151.0
19,University of Notre Dame,https://www.usnews.com/best-colleges/university-of-notre-dame-1840,"Notre Dame, IN",20,62693,8971.0
20,University of Michigan--Ann Arbor,https://www.usnews.com/best-colleges/university-of-michigan-ann-arbor-9092,"Ann Arbor, MI",21,57273,32695.0
21,Georgetown University,https://www.usnews.com/best-colleges/georgetown-university-1445,"Washington, DC",22,65082,7900.0
22,University of North Carolina at Chapel Hill,https://www.usnews.com/best-colleges/unc-2974,"Chapel Hill, NC",22,39338,20210.0
23,Carnegie Mellon University,https://www.usnews.com/best-colleges/carnegie-mellon-university-3242,"Pittsburgh, PA",24,63829,7509.0
24,Emory University,https://www.usnews.com/best-colleges/emory-university-1564,"Atlanta, GA",24,60774,7101.0
25,University of Virginia,https://www.usnews.com/best-colleges/uva-6968,"Charlottesville, VA",24,58950,17496.0
26,Washington University in St. Louis,https://www.usnews.com/best-colleges/washington-university-in-st-louis-2520,"St. Louis, MO",24,62982,8132.0
27,"University of California, Davis",https://www.usnews.com/best-colleges/university-of-california-davis-1313,"Davis, CA",28,46043,31532.0
28,"University of California, San Diego",https://www.usnews.com/best-colleges/university-of-california-san-diego-1317,"La Jolla, CA",28,48630,33096.0
29,University of Florida,https://www.usnews.com/best-colleges/university-of-florida-1535,"Gainesville, FL",28,28658,34552.0
30,University of Southern California,https://www.usnews.com/best-colleges/university-of-southern-california-1328,"Los Angeles, CA",28,68237,20699.0
31,University of Texas at Austin,https://www.usnews.com/best-colleges/university-of-texas-at-austin-3658,"Austin, TX",32,41070,41309.0
32,Georgia Institute of Technology,https://www.usnews.com/best-colleges/georgia-institute-of-technology-1569,"Atlanta, GA",33,32876,18415.0
33,"University of California, Irvine",https://www.usnews.com/best-colleges/university-of-california-irvine-1314,"Irvine, CA",33,47759,28661.0
34,New York University,https://www.usnews.com/best-colleges/nyu-2785,"New York, NY",35,60438,29401.0
35,"University of California, Santa Barbara",https://www.usnews.com/best-colleges/university-of-california-santa-barbara-1320,"Santa Barbara, CA",35,45658,23460.0
36,University of Illinois Urbana-Champaign,https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775,"Champaign, IL",35,36068,35120.0
37,University of Wisconsin--Madison,https://www.usnews.com/best-colleges/university-of-wisconsin-3895,"Madison, WI",35,40603,37230.0
38,Boston College,https://www.usnews.com/best-colleges/boston-college-2128,"Chestnut Hill, MA",39,67680,9484.0
39,Rutgers University--New Brunswick,https://www.usnews.com/best-colleges/rutgers-new-brunswick-6964,"Piscataway, NJ",40,36001,36344.0
40,Tufts University,https://www.usnews.com/best-colleges/tufts-university-2219,"Medford, MA",40,67844,6815.0
41,University of Washington,https://www.usnews.com/best-colleges/university-of-washington-3798,"Seattle, WA",40,41997,36872.0
42,Boston University,https://www.usnews.com/best-colleges/boston-university-2130,"Boston, MA",43,65168,18459.0
43,The Ohio State University,https://www.usnews.com/best-colleges/ohio-state-6883,"Columbus, OH",43,36722,46123.0
44,Purdue University--Main Campus,https://www.usnews.com/best-colleges/purdue-university-west-lafayette-1825,"West Lafayette, IN",43,28794,37949.0
45,"University of Maryland, College Park",https://www.usnews.com/best-colleges/university-of-maryland-2103,"College Park, MD",46,40306,30353.0
46,Lehigh University,https://www.usnews.com/best-colleges/lehigh-university-3289,"Bethlehem, PA",47,62180,5624.0
47,Texas A&M University,https://www.usnews.com/best-colleges/texas-am-university-college-station-10366,"College Station, TX",47,40607,57512.0
48,University of Georgia,https://www.usnews.com/best-colleges/university-of-georgia-1598,"Athens, GA",47,30220,30714.0
49,University of Rochester,https://www.usnews.com/best-colleges/university-of-rochester-2894,"Rochester, NY",47,64384,6767.0
50,Virginia Tech,https://www.usnews.com/best-colleges/virginia-tech-3754,"Blacksburg, VA",47,36090,30434.0
51,Wake Forest University,https://www.usnews.com/best-colleges/wake-forest-2978,"Winston-Salem, NC",47,64758,5447.0
52,Case Western Reserve University,https://www.usnews.com/best-colleges/case-western-reserve-university-3024,"Cleveland, OH",53,62234,6017.0
53,Florida State University,https://www.usnews.com/best-colleges/florida-state-university-1489,"Tallahassee, FL",53,21683,32936.0
54,Northeastern University,https://www.usnews.com/best-colleges/northeastern-university-2199,"Boston, MA",53,63141,16302.0
55,"University of Minnesota, Twin Cities",https://www.usnews.com/best-colleges/university-of-minnesota-twin-cities-3969,"Minneapolis, MN",53,36402,39248.0
56,William & Mary,https://www.usnews.com/best-colleges/william-and-mary-3705,"Williamsburg, VA",53,48841,6797.0
57,Stony Brook University--SUNY,https://www.usnews.com/best-colleges/stony-brook-suny-2838,"Stony Brook, NY",58,30350,17509.0
58,University of Connecticut,https://www.usnews.com/best-colleges/uconn-29013,"Storrs, CT",58,43034,18983.0
59,Brandeis University,https://www.usnews.com/best-colleges/brandeis-university-2133,"Waltham, MA",60,62722,3687.0
60,Michigan State University,https://www.usnews.com/best-colleges/michigan-state-2290,"East Lansing, MI",60,41958,39201.0
61,North Carolina State University,https://www.usnews.com/best-colleges/north-carolina-state-raleigh-2972,"Raleigh, NC",60,31976,26254.0
62,The Pennsylvania State University--University Park,https://www.usnews.com/best-colleges/penn-state-6965,"University Park, PA",60,38651,41745.0
63,Rensselaer Polytechnic Institute,https://www.usnews.com/best-colleges/rpi-2803,"Troy, NY",60,61884,5895.0
64,Santa Clara University,https://www.usnews.com/best-colleges/santa-clara-university-1326,"Santa Clara, CA",60,59241,6115.0
65,"University of California, Merced",https://www.usnews.com/best-colleges/university-of-california-merced-4127,"Merced, CA",60,43777,8344.0
66,George Washington University,https://www.usnews.com/best-colleges/george-washington-university-1444,"Washington, DC",67,64990,11482.0
67,Syracuse University,https://www.usnews.com/best-colleges/syracuse-university-2882,"Syracuse, NY",67,63061,15421.0
68,University of Massachusetts--Amherst,https://www.usnews.com/best-colleges/umass-amherst-2221,"Amherst, MA",67,39293,24391.0
69,University of Miami,https://www.usnews.com/best-colleges/university-of-miami-1536,"Coral Gables, FL",67,59926,12504.0
70,University of Pittsburgh,https://www.usnews.com/best-colleges/university-of-pittsburgh-3379,"Pittsburgh, PA",67,39890,19928.0
71,Villanova University,https://www.usnews.com/best-colleges/villanova-3388,"Villanova, PA",67,64906,6989.0
72,Binghamton University--SUNY,https://www.usnews.com/best-colleges/suny-binghamton-2836,"Binghamton, NY",73,28203,14402.0
73,Indiana University--Bloomington,https://www.usnews.com/best-colleges/indiana-university-bloomington-1809,"Bloomington, IN",73,40482,35660.0
74,Tulane University,https://www.usnews.com/best-colleges/tulane-university-2029,"New Orleans, LA",73,65538,7350.0
75,Colorado School of Mines,https://www.usnews.com/best-colleges/colorado-school-of-mines-1348,"Golden, CO",76,42120,5733.0
76,Pepperdine University,https://www.usnews.com/best-colleges/pepperdine-university-1264,"Malibu, CA",76,66742,3662.0
77,Stevens Institute of Technology,https://www.usnews.com/best-colleges/stevens-institute-of-technology-2639,"Hoboken, NJ",76,60952,3988.0
78,University at Buffalo--SUNY,https://www.usnews.com/best-colleges/ub-9554,"Buffalo, NY",76,30571,20761.0
79,"University of California, Riverside",https://www.usnews.com/best-colleges/university-of-california-riverside-1316,"Riverside, CA",76,46266,22903.0
80,University of Delaware,https://www.usnews.com/best-colleges/university-of-delaware-1431,"Newark, DE",76,39720,18883.0
81,Rutgers University--Newark,https://www.usnews.com/best-colleges/rutgers-newark-2631,"Newark, NJ",82,35348,7511.0
82,"University of California, Santa Cruz",https://www.usnews.com/best-colleges/university-of-california-santa-cruz-1321,"Santa Cruz, CA",82,47862,17502.0
83,University of Illinois--Chicago,https://www.usnews.com/best-colleges/university-of-illinois-chicago-1776,"Chicago, IL",82,32833,21807.0
84,Worcester Polytechnic Institute,https://www.usnews.com/best-colleges/wpi-2233,"Worcester, MA",82,58870,5246.0
85,Clemson University,https://www.usnews.com/best-colleges/clemson-university-3425,"Clemson, SC",86,39502,22566.0
86,Marquette University,https://www.usnews.com/best-colleges/marquette-university-3863,"Milwaukee, WI",86,48700,7528.0
87,New Jersey Institute of Technology,https://www.usnews.com/best-colleges/njit-2621,"Newark, NJ",86,34972,9019.0
88,Fordham University,https://www.usnews.com/best-colleges/fordham-university-2722,"New York, NY",89,61567,10098.0
89,Southern Methodist University,https://www.usnews.com/best-colleges/smu-3613,"Dallas, TX",89,64460,7056.0
90,Temple University,https://www.usnews.com/best-colleges/temple-university-3371,"Philadelphia, PA",89,35956,24106.0
