,School,Details,Adress,Summary Rating,Rating Class,Type,Grades,Total students enrolled,Students per teacher,Number of Reviews,Reviews,Test Scores Rating,Student Progress Rating,College Readiness Rating,Equity Overview Rating
0,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
1,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
2,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
3,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
4,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
5,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
6,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
7,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
8,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
9,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
10,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
11,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
12,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
13,Bedford Stuyvesant New Beginnings Charter School,https://www.greatschools.org/new-york/brooklyn/13485-Bedford-Stuyvesant-New-Beginnings-Charter-School/,"82 Lewis Avenue, Brooklyn, NY, 11206",9,Above average,Public charter,K-8,702,10:1,3 Reviews,2.7,8,8.0,,10
